portion_id	analyte_id	bcr_analyte_uuid	subportion_sequence	gel_image_file	well_number	analyte_type	is_derived_from_ffpe	bcr_analyte_barcode	amount	a260_a280_ratio	concentration	spectrophotometer_method	analyte_type_id
TCGA-EJ-7791-10A-01	TCGA-EJ-7791-10A-01D	192159f2-14a3-42b7-8da1-451272e9fdf0		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-7791-10A-01D	398.6		0.15	PicoGreen	D
TCGA-YL-A8SC-10A-01	TCGA-YL-A8SC-10A-01D	8008D725-E146-4972-AEF9-D9A48D1BB221		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-YL-A8SC-10A-01D	17.08		0.15	PicoGreen	D
TCGA-HC-7740-10A-01	TCGA-HC-7740-10A-01D	cc6f6947-5b11-4643-91d1-f1ffd1547b93		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-HC-7740-10A-01D	185.5		0.16	PicoGreen	D
TCGA-CH-5744-10A-01	TCGA-CH-5744-10A-01W	14f29e8f-409a-4441-80e9-5d010386356f		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-CH-5744-10A-01W	202		0.5	UV Spec	W
TCGA-J4-AAU2-01A-11	TCGA-J4-AAU2-01A-11D	F7C1EA42-DE30-48C4-A195-F73FA1D75A07	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-J4-AAU2-01A-11D	23.27		0.15	PicoGreen	D
TCGA-G9-6348-10A-01	TCGA-G9-6348-10A-01D	67cd2434-dbcf-47bc-9de5-ce6594720177		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-G9-6348-10A-01D	33.7	1.8	0.13	UV Spec	D
TCGA-YL-A8SC-10A-01	TCGA-YL-A8SC-10A-01W	F2019093-2F85-4369-9ECF-87FF4BD0F8E3		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-YL-A8SC-10A-01W					W
TCGA-CH-5744-10A-01	TCGA-CH-5744-10A-01D	38b21deb-1ad1-4782-b667-76d9317d18f7		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-CH-5744-10A-01D	130.4	1.9	0.15	UV Spec	D
TCGA-HC-7740-10A-01	TCGA-HC-7740-10A-01W	376ec4fe-1436-4dff-a6e1-4d39b75f35b3		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-7740-10A-01W	168		0.5	PicoGreen	W
TCGA-G9-6348-10A-01	TCGA-G9-6348-10A-01W	67689534-30eb-4154-b82e-5f663f7bdeda		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-G9-6348-10A-01W	185		0.5	PicoGreen	W
TCGA-XA-A8JR-01A-11	TCGA-XA-A8JR-01A-11D	D23CF2AA-08A7-40DF-AB7D-D940B2BDEADE	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-XA-A8JR-01A-11D	20.74		0.16	PicoGreen	D
TCGA-2A-AAYO-10A-01	TCGA-2A-AAYO-10A-01D	1479F18C-0959-4C57-ACFB-1BEC1242D842		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-2A-AAYO-10A-01D	22.86		0.16	PicoGreen	D
TCGA-G9-6367-11A-01	TCGA-G9-6367-11A-01W	2f5494ec-8c2d-4d7e-b616-f1adf79de00d		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-G9-6367-11A-01W	171		0.5	PicoGreen	W
TCGA-HC-8257-01A-11	TCGA-HC-8257-01A-11D	57afb29b-33eb-4888-9294-f2472bd7afc2	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-HC-8257-01A-11D	100.3		0.15	PicoGreen	D
TCGA-G9-6367-11A-01	TCGA-G9-6367-11A-01D	22b6f980-7406-430b-b3c8-d19f25406f9c		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-G9-6367-11A-01D	208.4	1.9	0.15	UV Spec	D
TCGA-HC-7209-10A-01	TCGA-HC-7209-10A-01W	51a1a567-3f86-40e6-bbb0-fb045cb306b3		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-7209-10A-01W	156		0.5	PicoGreen	W
TCGA-HC-8257-01A-11	TCGA-HC-8257-01A-11R	32924efb-8b4c-42fc-a242-d13c0a030bca	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-HC-8257-01A-11R	111.2		0.16	UV Spec	R
TCGA-HC-8257-01A-11	TCGA-HC-8257-01A-11W	1263c2a5-1b69-4ca7-99fa-2384f6f85da4	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-8257-01A-11W	209		0.5	PicoGreen	W
TCGA-2A-AAYO-01A-11	TCGA-2A-AAYO-01A-11R	744F0A07-F2E5-421E-AC75-F9AEEA55F9F2	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-2A-AAYO-01A-11R	44.74	1.84	0.16	UV Spec	R
TCGA-HC-7209-01A-11	TCGA-HC-7209-01A-11W	cd113426-2dfe-46da-9719-3d30aa45b49d	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-7209-01A-11W	187		0.5	PicoGreen	W
TCGA-EJ-7794-01A-11	TCGA-EJ-7794-01A-11D	282b6fe6-7896-4abc-8bab-4b1a5951cf08	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-7794-01A-11D	178.3		0.14	PicoGreen	D
TCGA-YL-A8SC-01A-11	TCGA-YL-A8SC-01A-11D	175E83AB-3BA6-4E90-810E-E472D3C097C1	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-YL-A8SC-01A-11D	38.8		0.14	PicoGreen	D
TCGA-2A-AAYO-01A-11	TCGA-2A-AAYO-01A-11D	CC46A24D-AD99-4F4B-9334-43B97C60DED5	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-2A-AAYO-01A-11D	25.39		0.16	PicoGreen	D
TCGA-EJ-7794-01A-11	TCGA-EJ-7794-01A-11R	5fa499af-8e69-4ddc-a754-a5f09e52209d	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-EJ-7794-01A-11R	119.2		0.13	UV Spec	R
TCGA-EJ-5524-01A-01	TCGA-EJ-5524-01A-01D	1c6ace5d-af44-423d-ae05-7dddf2a27532		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-5524-01A-01D	248.7	1.9	0.14	UV Spec	D
TCGA-EJ-7794-01A-11	TCGA-EJ-7794-01A-11W	24c07f95-cbce-40b7-ba3d-ff0dd37062e8	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7794-01A-11W	164		0.5	PicoGreen	W
TCGA-J4-AAU2-01A-11	TCGA-J4-AAU2-01A-11R	51C665B1-31D4-43C7-8FC5-53A74F508EF0	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-J4-AAU2-01A-11R	28.94	1.81	0.15	UV Spec	R
TCGA-J4-A67K-01A-21	TCGA-J4-A67K-01A-21W	1EE10337-E790-4985-A7E2-EE94354E62AC	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-J4-A67K-01A-21W					W
TCGA-VN-A88M-01A-11	TCGA-VN-A88M-01A-11D	FD4C0D1D-58C5-43DA-8AB2-A8110FE80CF0	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-VN-A88M-01A-11D	25.58		0.16	PicoGreen	D
TCGA-EJ-7123-11A-01	TCGA-EJ-7123-11A-01W	9e9fba84-f3c4-46c5-8a44-53e2a473c15b		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7123-11A-01W	159		0.5	PicoGreen	W
TCGA-XA-A8JR-01A-11	TCGA-XA-A8JR-01A-11R	AAC985C2-7C92-49DE-93CC-D03AFCE79CCE	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-XA-A8JR-01A-11R	30.6	1.84	0.16	UV Spec	R
TCGA-XA-A8JR-01A-11	TCGA-XA-A8JR-01A-11W	26AF2783-E5BD-41C5-8CD4-E41EBE5C2F9B	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-XA-A8JR-01A-11W					W
TCGA-EJ-5498-01A-01	TCGA-EJ-5498-01A-01R	ca408dd5-506e-4e8e-bcfc-c14b6be933bf		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-EJ-5498-01A-01R	40.8	1.7	0.14	UV Spec	R
TCGA-V1-A8MK-01A-11	TCGA-V1-A8MK-01A-11R	DCDF22C0-08D1-456D-8FD0-5572FABBD957	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-V1-A8MK-01A-11R	17.49	1.9	0.17	UV Spec	R
TCGA-YL-A8SI-10A-01	TCGA-YL-A8SI-10A-01D	2D1E080E-8127-4A04-B1B5-35E7342F5608		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-YL-A8SI-10A-01D	40.32		0.15	PicoGreen	D
TCGA-ZG-A9LB-10A-01	TCGA-ZG-A9LB-10A-01D	713712A0-8228-4682-8231-7D1D26C04C9A		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-ZG-A9LB-10A-01D	15.94		0.17	PicoGreen	D
TCGA-G9-6348-11A-01	TCGA-G9-6348-11A-01R	817d52c8-633d-4081-90c3-29fa5679336d		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-G9-6348-11A-01R	139.2	1.8	0.15	UV Spec	R
TCGA-G9-6348-11A-01	TCGA-G9-6348-11A-01W	0aed83db-6a5f-4027-adbb-923da14a06d6		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-G9-6348-11A-01W	177		0.5	PicoGreen	W
TCGA-G9-6494-01A-11	TCGA-G9-6494-01A-11D	4843aded-ed8d-4371-9a8a-d6743afba524	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-G9-6494-01A-11D	129.4	1.9	0.13	UV Spec	D
TCGA-EJ-5524-01A-01	TCGA-EJ-5524-01A-01W	a476863a-1734-4d6d-80bb-90f540664cc9		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-5524-01A-01W	174		0.5	UV Spec	W
TCGA-CH-5746-01A-11	TCGA-CH-5746-01A-11R	cfa00746-b12e-4d8e-b56e-106d2eab2e75	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-CH-5746-01A-11R	181.8	1.8	0.15	UV Spec	R
TCGA-CH-5746-01A-11	TCGA-CH-5746-01A-11W	0a500cc2-566c-49b3-b459-648c40ee4213	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-CH-5746-01A-11W	157		0.5	UV Spec	W
TCGA-G9-6348-11A-01	TCGA-G9-6348-11A-01D	7b1b21f9-2bd3-4462-9b1c-7297c10648cf		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-G9-6348-11A-01D	181.4	1.9	0.16	UV Spec	D
TCGA-VN-A88M-01A-11	TCGA-VN-A88M-01A-11W	48CB4311-AA63-48DB-B8BF-01FFFA29D23B	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-VN-A88M-01A-11W					W
TCGA-G9-6494-01A-11	TCGA-G9-6494-01A-11W	f49ab2d6-75ad-4b10-bd5f-412465d5942d	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-G9-6494-01A-11W	186		0.5	PicoGreen	W
TCGA-CH-5746-01A-11	TCGA-CH-5746-01A-11D	e88264dd-a172-4dc7-8a0b-2267c55d4960	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-CH-5746-01A-11D	299.7	1.9	0.15	UV Spec	D
TCGA-G9-6494-01A-11	TCGA-G9-6494-01A-11R	e6df0fd2-bcae-471b-a236-7f9d46d3f9c5	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-G9-6494-01A-11R	100.2	1.8	0.14	UV Spec	R
TCGA-CH-5768-01A-11	TCGA-CH-5768-01A-11R	ec6dc94f-8eff-4e28-966a-0a7f7cf821dc	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-CH-5768-01A-11R	86.3	1.7	0.15	UV Spec	R
TCGA-HC-8258-01B-05	TCGA-HC-8258-01B-05R	4cba1922-53c1-463e-9cb5-8ba60eb03d3e		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	YES	TCGA-HC-8258-01B-05R	0		0.15	UV Spec	R
TCGA-CH-5768-01A-11	TCGA-CH-5768-01A-11W	640d089e-d5f5-4c66-97a7-65d950136560	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-CH-5768-01A-11W	140		0.5	UV Spec	W
TCGA-HC-8258-01B-05	TCGA-HC-8258-01B-05D	f8761f9a-63ce-408c-a214-b515557221b1		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	YES	TCGA-HC-8258-01B-05D	0		0.14	PicoGreen	D
TCGA-CH-5768-01A-11	TCGA-CH-5768-01A-11D	c116e6e3-7da8-4b67-9369-0cfd65904ece	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-CH-5768-01A-11D	131.7	1.9	0.15	UV Spec	D
TCGA-KK-A5A1-01A-11	TCGA-KK-A5A1-01A-11W	444F5AD6-3A8D-4D6C-B126-8F1EEAA841AB	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-KK-A5A1-01A-11W					W
TCGA-EJ-7794-10A-01	TCGA-EJ-7794-10A-01D	8309e108-3cc1-4154-9f9a-1cfe774b20d7		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-7794-10A-01D	432.6		0.16	PicoGreen	D
TCGA-EJ-5498-01A-01	TCGA-EJ-5498-01A-01D	2333e677-e952-4417-a925-8ad0aadda1de		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-5498-01A-01D	52.7	1.9	0.17	UV Spec	D
TCGA-G9-6342-11A-02	TCGA-G9-6342-11A-02W	a0da0567-4ac1-4744-b7dc-ef42f302dcd9		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-G9-6342-11A-02W	168		0.5	PicoGreen	W
TCGA-4L-AA1F-01A-11	TCGA-4L-AA1F-01A-11D	216190E3-8A6C-4F9E-BB38-0F30977FF298	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-4L-AA1F-01A-11D	15.08		0.16	PicoGreen	D
TCGA-G9-6342-11A-02	TCGA-G9-6342-11A-02R	9a35f133-18fb-41fd-9caa-c129292caa4c		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-G9-6342-11A-02R	38.2	1.8	0.15	UV Spec	R
TCGA-EJ-7794-10A-01	TCGA-EJ-7794-10A-01W	3e14c210-62c4-4a33-a27a-c3481206eb03		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7794-10A-01W	166		0.5	PicoGreen	W
TCGA-EJ-5496-10A-01	TCGA-EJ-5496-10A-01W	7024f243-dcd1-46ea-949b-1990d18f1b14		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-5496-10A-01W	179		0.5	UV Spec	W
TCGA-J4-A67K-01A-21	TCGA-J4-A67K-01A-21R	BD4CE67D-6BF8-45C3-8A32-E101A689B4FE	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-J4-A67K-01A-21R	20.68	2.21	0.16	UV Spec	R
TCGA-G9-6342-11A-02	TCGA-G9-6342-11A-02D	b746998a-dca4-4792-bb85-79b9970cc985		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-G9-6342-11A-02D	34.7	1.9	0.13	UV Spec	D
TCGA-4L-AA1F-01A-11	TCGA-4L-AA1F-01A-11R	FC8CBC7C-69E3-4A93-A8F7-05C0F9B05643	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-4L-AA1F-01A-11R	18.6	1.84	0.16	UV Spec	R
TCGA-VP-AA1N-01A-31	TCGA-VP-AA1N-01A-31D	B5AEA254-4050-4E15-9053-7A310D779108	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-VP-AA1N-01A-31D	17.55		0.16	PicoGreen	D
TCGA-XK-AAIW-01A-11	TCGA-XK-AAIW-01A-11D	3F7781C8-EFCB-4D71-A782-3C780789CD0B	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-XK-AAIW-01A-11D	35.99		0.16	PicoGreen	D
TCGA-VP-A87D-10A-01	TCGA-VP-A87D-10A-01W	BA861A71-AE9E-46B7-958D-05398FCDF71E		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-VP-A87D-10A-01W					W
TCGA-XK-AAIW-01A-11	TCGA-XK-AAIW-01A-11R	5C99C71A-221C-4776-B3EF-6E48F27B2171	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-XK-AAIW-01A-11R	86.54	1.91	0.18	UV Spec	R
TCGA-VP-A87D-10A-01	TCGA-VP-A87D-10A-01D	4E84BF27-1898-45FE-8E00-2C437A33B13F		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-VP-A87D-10A-01D	49.83		0.17	PicoGreen	D
TCGA-X4-A8KS-10A-01	TCGA-X4-A8KS-10A-01W	A69E230C-2185-43A3-A89C-315CA871AE31		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-X4-A8KS-10A-01W					W
TCGA-V1-A9ZK-10A-01	TCGA-V1-A9ZK-10A-01D	1A2D43A1-82A4-4F9A-804F-443A8981C8F0		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-V1-A9ZK-10A-01D	13.1		0.15	PicoGreen	D
TCGA-EJ-A65M-01A-11	TCGA-EJ-A65M-01A-11D	54E06D5E-8807-4928-9EB1-71D0E719576C	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-A65M-01A-11D	31.65		0.15	PicoGreen	D
TCGA-KK-A7B3-01A-11	TCGA-KK-A7B3-01A-11D	148239BB-C8CC-4572-B060-06B93621F5BD	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-KK-A7B3-01A-11D	11.05		0.14	PicoGreen	D
TCGA-EJ-A65M-01A-11	TCGA-EJ-A65M-01A-11R	149A8212-4FD5-41F3-B869-CAC80E9099F3	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-EJ-A65M-01A-11R	27.8	1.84	0.16	UV Spec	R
TCGA-EJ-A65M-01A-11	TCGA-EJ-A65M-01A-11W	43E80E17-37FC-4A1D-A1A1-D1773806240A	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-A65M-01A-11W					W
TCGA-KK-A7B3-01A-11	TCGA-KK-A7B3-01A-11W	754AB50E-702F-4469-94C8-1497F5ECAD77	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-KK-A7B3-01A-11W					W
TCGA-KK-A7B3-01A-11	TCGA-KK-A7B3-01A-11R	C90ECDAC-06A9-4471-8DA0-DA03782E6A59	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-KK-A7B3-01A-11R	35.26	1.88	0.17	UV Spec	R
TCGA-HC-A6AQ-01A-11	TCGA-HC-A6AQ-01A-11D	67C5D26C-BC9B-4734-BE8A-2243C5C5F3FC	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-HC-A6AQ-01A-11D	31.88		0.14	PicoGreen	D
TCGA-J4-A83L-10A-01	TCGA-J4-A83L-10A-01W	DC8DC538-D68B-4440-AACA-10D7219C9AAE		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-J4-A83L-10A-01W					W
TCGA-KK-A5A1-01A-11	TCGA-KK-A5A1-01A-11D	C2E26576-C22A-4C34-BA61-9077AFDD4179	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-KK-A5A1-01A-11D	32.68		0.16	PicoGreen	D
TCGA-J9-A52E-01A-11	TCGA-J9-A52E-01A-11D	1CDAD02D-F6B9-42FF-A34A-D49FE06859D6	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-J9-A52E-01A-11D	20.73		0.17	PicoGreen	D
TCGA-HC-A6AQ-01A-11	TCGA-HC-A6AQ-01A-11W	3DEE776D-E6C6-4FE2-AA90-1D2791E4BD6B	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-A6AQ-01A-11W					W
TCGA-HC-A6AQ-01A-11	TCGA-HC-A6AQ-01A-11R	7786F008-B666-415B-AEC1-A78C1DEFB923	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-HC-A6AQ-01A-11R	33.37	2.02	0.16	UV Spec	R
TCGA-J4-A83L-10A-01	TCGA-J4-A83L-10A-01D	16BDC64C-5AD1-47EB-B1A6-38C6097C2164		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-J4-A83L-10A-01D	45.15		0.17	PicoGreen	D
TCGA-HC-7750-10A-01	TCGA-HC-7750-10A-01W	0e1d2575-9347-4b73-a57f-1542e52dad6c		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-HC-7750-10A-01W	175		0.5	PicoGreen	W
TCGA-EJ-5494-01A-01	TCGA-EJ-5494-01A-01D	17d4f083-b11f-4190-b97a-8291127ee3b5		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-5494-01A-01D	107.7	1.9	0.15	UV Spec	D
TCGA-EJ-7784-11A-01	TCGA-EJ-7784-11A-01R	649e5639-2ac3-472a-9391-59c1e9f2d236		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-EJ-7784-11A-01R	83.2		0.15	UV Spec	R
TCGA-HC-7745-11A-01	TCGA-HC-7745-11A-01D	453e54e9-fb62-4bb9-80ca-2a3044abf6e0		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-HC-7745-11A-01D	143.1		0.13	PicoGreen	D
TCGA-EJ-7784-11A-01	TCGA-EJ-7784-11A-01W	e28e343d-9879-4bf3-b64b-bdba69d85963		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7784-11A-01W	170		0.5	PicoGreen	W
