analyte_id	aliquot_id	month_of_shipment	plate_id	biospecimen_barcode_bottom	center_id	plate_column	is_derived_from_ffpe	volume	amount	plate_row	day_of_shipment	year_of_shipment	bcr_aliquot_uuid	source_center	concentration	quantity	material_type	protocol_type	protocol_description
TCGA-ZG-A9LY-01A-11R	TCGA-ZG-A9LY-01A-11R-A41R-13	5	A41R	174163743	13	9	NO	20		C	28	2014	3E298D6A-716E-46B2-9CBE-EF67257DA7DB	23	0.16	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-7522-01A-11D	TCGA-G9-7522-01A-11D-2260-08	4	2260	128284467	8	1	NO	60		G	25	2012	f54442d1-80fa-4678-ac94-c3ad03bc37fb	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6342-01A-11D	TCGA-G9-6342-01A-11D-1961-08	8	1961	113624952	8	1	NO	60		F	17	2011	8e0af26e-760e-4842-8e0f-c073f3b67fc8	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6498-01A-12W	TCGA-G9-6498-01A-12W-A331-08	10	A331	153889295	8	1	NO	80		E	21	2013	785AAD41-A4C5-404D-B868-49D256A0C8CB	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5504-10A-01D	TCGA-EJ-5504-10A-01D-1577-08	2	1577	1049966896	8	2	NO	40		C	23	2011	316ecb66-2802-4972-9bdc-f11fd7f67801	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A872-01A-11D	TCGA-VP-A872-01A-11D-A34T-01	1	A34T	160338079	1	8	NO	6.7		F	6	2014	92C27512-4FBF-49C5-B247-46971C091FF3	23	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-FC-A6HD-10A-01W	TCGA-FC-A6HD-10A-01W-A332-08	10	A332	153888208	8	8	NO	80		G	21	2013	A7C50023-D4C1-44C9-BE3E-44187D9D6028	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6361-01A-21D	TCGA-G9-6361-01A-21D-1961-08	8	1961	113625001	8	2	NO	60		B	17	2011	ae721ffe-45da-4029-bcbd-6e218f607de2	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-XJ-A9DK-10A-01D	TCGA-XJ-A9DK-10A-01D-A37A-08	2	A37A	164055916	8	5	NO	40		B	26	2014	4C074125-47A4-4533-A8F6-A96D06F5E5B7	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A9OL-01A-11R	TCGA-V1-A9OL-01A-11R-A41O-07	5	A41O	174164636	7	4	NO	13		A	28	2014	E312E528-BED2-4067-A562-1C27DD93D540	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7218-10A-01W	TCGA-EJ-7218-10A-01W-A35U-08	1	A35U	160339404	8	8	NO	80		G	29	2014	2A51DF7C-5E1C-4CAA-B0B7-C3A4FBF874A4	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A723-01A-12D	TCGA-M7-A723-01A-12D-A32C-05	9	A32C	153879278	5	10	NO	13		G	25	2013	46D9EB23-8A3E-4DE2-A49B-A0A20EE82DF1	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8X3-10A-01D	TCGA-V1-A8X3-10A-01D-A379-01	2	A379	164055291	1	4	NO	6.7		F	26	2014	3257AD05-CFC8-449E-81FB-E0DE690A40C2	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-4L-AA1F-10A-01D	TCGA-4L-AA1F-10A-01D-A41N-08	5	A41N	174188592	8	1	NO	40		D	28	2014	E3A32F56-A8B5-40CA-A15B-7714DA6F0AC7	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8IL-01A-11D	TCGA-KK-A8IL-01A-11D-A363-01	1	A363	164081727	1	9	NO	6.7		C	29	2014	FA23D811-5685-43D5-AE56-DCE93F0B218D	23	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A872-01A-11R	TCGA-VP-A872-01A-11R-A352-07	12	A352	160339613	7	6	NO	13		F	18	2013	F8FBA04C-CD45-4F85-8B75-DCF5426B7637	23	0.18	2.34	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7B4-11A-11D	TCGA-KK-A7B4-11A-11D-A328-01	9	A328	153879441	1	10	NO	6.7		B	25	2013	96D7B534-688E-4666-BB8F-FEA45CACAB32	23	0.16	1.07	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A9NI-01A-11R	TCGA-ZG-A9NI-01A-11R-A41R-13	5	A41R	174163766	13	10	NO	20		A	28	2014	5E608D78-ECF7-41C7-A349-8D02BD3B9199	23	0.17	3.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5522-10A-01D	TCGA-EJ-5522-10A-01D-1577-08	2	1577	1049966899	8	4	NO	40		C	23	2011	9b4b6723-8e0e-4e98-a726-c023723e08b1	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-A9S0-01A-11D	TCGA-G9-A9S0-01A-11D-A41J-01	5	A41J	174186430	1	2	NO	6.7		A	28	2014	D1CEEF18-B780-4A26-84CF-76AA4C93D039	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6362-11A-01D	TCGA-G9-6362-11A-01D-1786-08	5	1786	107043804	8	3	NO	60		G	24	2011	b9b344e8-a353-4ba6-a58f-46fb67489ffa	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SC-01A-11D	TCGA-YL-A8SC-01A-11D-A377-08	2	A377	164104277	8	6	NO	40		D	26	2014	30CBE211-6ED8-49BD-B2DA-428FD8C90F37	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A65E-01A-11D	TCGA-EJ-A65E-01A-11D-A29P-01	5	A29P	145630316	1	4	NO	6.7		E	8	2013	DF4CD117-81E5-4101-A398-288529D4E397	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7740-01A-11R	TCGA-HC-7740-01A-11R-2118-07	1	2118	120997876	7	5	NO	13.3		D	4	2012	095f3c80-890e-4529-816c-306daf614ec2	22	0.14	1.86	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7321-11A-01W	TCGA-EJ-7321-11A-01W-2288-08	5	2288	128286993	8	3	NO	80		G	23	2012	f97b0749-a580-4213-85d3-8aa98005abee	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7331-11A-01D	TCGA-EJ-7331-11A-01D-2111-02	1	2111	120997148	2	4	NO	10		A	4	2012	79a9241b-fa29-4e33-ae90-73fd637fc975	22	0.15	1.5	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-XQ-A8TA-01A-11R	TCGA-XQ-A8TA-01A-11R-A36B-13	1	A36B	164080878	13	7	NO	20		B	29	2014	5FD5543A-7416-4282-95F1-688EE422B3E6	23	0.15	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5503-01A-01W	TCGA-EJ-5503-01A-01W-1610-08	3	1610	1052625977	8	6	NO	80		F	21	2011	f120e173-8c09-4c85-be09-80fa567c5a6b	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7817-01B-11R	TCGA-HC-7817-01B-11R-A29R-07	5	A29R	132274126	7	9	NO	13		B	8	2013	C995E591-F2B7-4C3E-AE81-9E72B9548B57	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A9L9-10A-01D	TCGA-ZG-A9L9-10A-01D-A41N-08	5	A41N	174188600	8	9	NO	40		D	28	2014	12FEB794-20B1-44B1-9C4F-FC995DAD737F	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SP-10A-01D	TCGA-YL-A8SP-10A-01D-A379-01	2	A379	164055305	1	7	NO	6.7		E	26	2014	080A18A5-C016-420B-B99D-D2DD88906EBE	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7230-01A-11R	TCGA-HC-7230-01A-11R-2118-07	1	2118	120997868	7	4	NO	13.3		E	4	2012	2ff3af27-d43b-4707-a337-0ff988ac2763	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A46I-01A-12D	TCGA-EJ-A46I-01A-12D-A26L-01	2	A26L	145673486	1	10	NO	6.7		G	27	2013	5A9D4210-B61E-4B6D-BECD-73A00C1B4886	23	0.17	1.14	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A83L-01A-11D	TCGA-J4-A83L-01A-11D-A34V-05	12	A34V	160341557	5	6	NO	13		D	18	2013	480A6F68-D256-40F7-B3C5-4A67B9973FF5	23	0.16	2.08	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SC-01A-11W	TCGA-YL-A8SC-01A-11W-A44J-08	7	A44J	167803061	8	6	NO	80		D	8	2014	FFFBC151-C4A3-49EF-A2BC-163137526E8F	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5508-10A-01D	TCGA-EJ-5508-10A-01D-1577-08	2	1577	1049966944	8	2	NO	40		G	23	2011	1e2392d3-82f0-4f1e-b949-a0a634c87743	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7783-10A-01D	TCGA-EJ-7783-10A-01D-2114-08	1	2114	120997331	8	12	NO	60		B	4	2012	2ef588a2-879b-49c7-b880-227f72467804	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7315-10A-01D	TCGA-EJ-7315-10A-01D-2112-01	1	2112	120996754	1	11	NO	6.67		B	4	2012	e96d941a-7d61-42ca-a9bb-ec03a68cfc61	22	0.15	1	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7738-10A-01D	TCGA-HC-7738-10A-01D-2115-08	1	2115	120998013	8	3	NO	60		A	4	2012	573b63e8-ecb6-4c86-932a-fd674800d592	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-ZG-A8QZ-01A-11R	TCGA-ZG-A8QZ-01A-11R-A37H-13	2	A37H	164104134	13	7	NO	20		H	26	2014	401ED3E1-9376-4097-9E95-285BE77723D6	23	0.17	3.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7785-11A-01D	TCGA-EJ-7785-11A-01D-2112-01	1	2112	120996759	1	9	NO	6.67		A	4	2012	69b3aec2-cdd7-4863-b0a5-4b02aed0c37a	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-2A-A8VO-10A-01D	TCGA-2A-A8VO-10A-01D-A379-01	2	A379	164055310	1	2	NO	6.7		E	26	2014	F09E2F05-67C3-4D47-9DDF-4441A9E2CAAF	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8I6-01A-11R	TCGA-KK-A8I6-01A-11R-A36G-07	1	A36G	164080709	7	3	NO	13		H	29	2014	0B02DE77-8D04-4BE6-87DB-0F0506EE5E54	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8ML-10A-01D	TCGA-V1-A8ML-10A-01D-A37A-08	2	A37A	164055885	8	3	NO	40		E	26	2014	291DC91D-9F58-4A35-8A15-EBBC601C6BDB	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A83J-11A-11R	TCGA-J4-A83J-11A-11R-A36B-13	1	A36B	164080845	13	3	NO	20		E	29	2014	130E2129-2084-4431-A1F6-42388E801E48	23	0.17	3.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5790-01A-11D	TCGA-CH-5790-01A-11D-1574-01	2	1574	1049968449	1	4	NO	6.67		D	23	2011	e092ca09-4999-484b-9fb1-f9f30a3b2078	22	0.15	1	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-2A-A8VX-10A-01D	TCGA-2A-A8VX-10A-01D-A379-01	2	A379	164055357	1	3	NO	6.7		A	26	2014	4460159F-35C6-41BD-B888-CEA6BBB995D5	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7211-11A-01D	TCGA-HC-7211-11A-01D-2111-02	1	2111	120997083	2	4	NO	10		F	4	2012	8c9cdd7b-ff6c-4d47-9306-e6aaf4c00790	22	0.16	1.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7075-01A-11D	TCGA-HC-7075-01A-11D-1963-05	8	1963	1053936914	5	2	NO	13.3		F	17	2011	63862550-706a-4668-beb1-7f3e3ac2d90b	22	0.13	1.73	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5745-01A-11D	TCGA-CH-5745-01A-11D-1572-02	2	1572	1049968308	2	1	NO	13.3		H	23	2011	780758ff-58ee-4b4b-ac71-de15c89c4625	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7B3-01A-11D	TCGA-KK-A7B3-01A-11D-A33U-05	10	A33U	160355407	5	8	NO	13		B	30	2013	07E5CCF4-DA1A-4E49-9EC5-F209CF3028D5	23	0.14	1.82	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A8SQ-01B-11R	TCGA-YL-A8SQ-01B-11R-A37H-13	2	A37H	164104146	13	6	NO	20		G	26	2014	A09FDDEE-6B3D-4560-92D7-4C997A89521F	23	0.18	3.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6339-01A-12R	TCGA-G9-6339-01A-12R-A311-07	6	A311	153878518	7	2	NO	13		G	26	2013	18C4E2FD-5696-4577-BD9D-019A402F7C81	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-8262-11A-01R	TCGA-HC-8262-11A-01R-2263-07	4	2263	128284472	7	4	NO	13.3		B	25	2012	4979a47e-0078-40c7-abad-849dfd54263c	22	0.17	2.26	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8WW-01A-11D	TCGA-V1-A8WW-01A-11D-A376-01	2	A376	164055609	1	4	NO	6.7		E	26	2014	EAB08019-C2C8-4CB5-8016-6288542841E4	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-YL-A9WL-10A-01D	TCGA-YL-A9WL-10A-01D-A41N-08	5	A41N	174188632	8	8	NO	40		A	28	2014	9B13B9BB-48E7-4BB4-81D0-3CE62EE0E536	23	0.09	3.6	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5765-11A-01W	TCGA-CH-5765-11A-01W-1611-08	3	1611	1052626031	8	1	NO	80		C	21	2011	a030ca75-3bc1-4213-949e-5c63331a6cd6	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8MF-10A-01D	TCGA-V1-A8MF-10A-01D-A361-01	1	A361	164082831	1	9	NO	6.7		G	29	2014	10644FEE-E5B4-4C76-BD71-63CE3237F3A7	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5765-01A-11D	TCGA-CH-5765-01A-11D-1576-08	2	1576	1049969410	8	3	NO	40		D	23	2011	23762450-360d-4930-b53b-611e0041327a	22	0.05	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A59X-01A-11R	TCGA-KK-A59X-01A-11R-A29R-07	5	A29R	132275678	7	8	NO	13		F	8	2013	EFBBD41E-6911-49D5-9D54-CC95E0C81415	23	0.18	2.34	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5525-01A-01D	TCGA-EJ-5525-01A-01D-1572-02	2	1572	1049968244	2	8	NO	13.3		C	23	2011	333dde15-f4b2-4301-a6ac-59c7f4cd6639	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5526-01A-01D	TCGA-EJ-5526-01A-01D-1574-01	2	1574	1049968445	1	8	NO	6.67		D	23	2011	0eecf7b2-faae-4da8-b7a2-a4e934bc2b09	22	0.15	1	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6384-11A-01D	TCGA-G9-6384-11A-01D-1785-01	5	1785	1053959634	1	4	NO	6.67		E	25	2011	884a1f7b-aeb2-42c9-a518-137ffc203898	22	0.13	0.87	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7752-11A-01D	TCGA-HC-7752-11A-01D-2112-01	1	2112	120996710	1	10	NO	6.67		E	4	2012	3dd861aa-97dd-4ade-88b0-4ab56a0a6e02	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A6M7-10A-01D	TCGA-J4-A6M7-10A-01D-A31I-01	7	A31I	153888423	1	9	NO	6.7		E	24	2013	29974CE6-4A32-4BC2-B3AD-BF09E20FEF6E	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5740-01A-11R	TCGA-CH-5740-01A-11R-1579-13	2	1579	1049967877	13	1	NO	20		D	23	2011	ce1b119d-2ed9-41d9-a5e4-56d862c2d5f8	22	0.14	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-XK-AAJP-01A-11R	TCGA-XK-AAJP-01A-11R-A41R-13	5	A41R	174163733	13	6	NO	20		D	28	2014	8242A52B-2743-42F6-B133-9949F6719BFE	23	0.17	3.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-M7-A721-10A-01D	TCGA-M7-A721-10A-01D-A328-01	9	A328	153879393	1	10	NO	6.7		F	25	2013	860DD86B-8587-4082-A1AC-71B76E7AA080	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A5A1-11A-12D	TCGA-KK-A5A1-11A-12D-A29Q-08	5	A29Q	132268914	8	11	NO	40		G	8	2013	E1E7D94F-1962-4438-B722-3D6D003EB6EA	23	0.07	2.8	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7328-01A-31R	TCGA-EJ-7328-01A-31R-2118-07	1	2118	120997848	7	1	NO	13.3		F	4	2012	bd8a26e3-ddaf-405d-9b32-bd6adb09024f	22	0.15	2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6363-01A-21D	TCGA-G9-6363-01A-21D-1784-02	5	1784	1053959847	2	1	NO	13.3		G	25	2011	dbf42c34-d2e5-4136-83f5-093453913d5b	22	0.13	1.73	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7315-11A-01W	TCGA-EJ-7315-11A-01W-2161-08	1	2161	120988816	8	8	NO	80		G	30	2012	c8e6f916-f9e5-4d14-be76-819f4ad8a644	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6333-11A-01D	TCGA-G9-6333-11A-01D-1957-02	8	1957	113625257	2	7	NO	10		E	17	2011	2f7b6bdc-e024-4b81-8fe1-ec428d41a7b9	22	0.14	1.4	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A6RC-10A-01W	TCGA-EJ-A6RC-10A-01W-A35U-08	1	A35U	160338660	8	9	NO	80		C	29	2014	43C2D943-585A-4734-A8C4-70A61B21C58C	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5508-10A-01D	TCGA-EJ-5508-10A-01D-1573-02	2	1573	1049968190	2	2	NO	13.3		G	23	2011	40f79b17-ff1d-4ef6-a784-2d6b3952c371	22	0.17	2.26	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7785-11A-01D	TCGA-EJ-7785-11A-01D-2116-05	1	2116	120996631	5	8	NO	13.3		D	4	2012	e0c7762c-b164-40b2-927d-7cc70ad702a1	22	0.14	1.86	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A8CY-10A-01W	TCGA-HC-A8CY-10A-01W-A446-08	7	A446	167803637	8	6	NO	80		D	8	2014	1BD8CA89-14D7-437E-A20C-AEC2DA2FE5C8	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-8468-11A-01D	TCGA-EJ-8468-11A-01D-2391-01	9	2391	1076437825	1	6	NO	6.67		G	10	2012	e42d46ca-8e07-44a0-83a6-9539acc37173	22	0.13	0.87	Total RNA	Library Preparation	Illumina TruSeq Kit
